Race,count_z_scores,average_z_score
"TRAIL SAINTE VICTOIRE ",5,0.6242135583257591
"LE GRAND RAID DE LA RÉUNION  - LA DIAGONALE DES FOUS",3,1.3151333460726067
"LA SAINTÉLYON ",3,0.5034705047650526
"UTMB® ",2,0.4957549534463387
"MAXI-RACE DU LAC D'ANNECY  - TECNICA MAXI-RACE",2,0.43425715866837056
"TRAIL GALIBIER THABOR  - TRAIL DU GALIBIER",2,0.19923006173783062
"HIGH TRAIL VANOISE  - HTV",2,0.08613925447601489
"GOLDEN TRAIL CHAMPIONSHIP  - GTC AZORES",1,4.313308167885395
"MERIBEL TRAIL CHAMPIONNAT FRANCE TRAIL  - 25 KM",1,2.5360352750348145
"THE NORTH FACE ULTRA-TRAIL DU MONT-BLANC®  - UTMB®",1,2.245323423889141
"TRAIL GALIBIER THABOR  - TRAIL DU GALIBIER-THABOR",1,2.2193882903830984
"ARAVISTRAIL  - ARAVISTRAIL - 70KM",1,2.023682458685717
"WEEK END DU TOUR DES GLACIERS DE LA VANOISE  - TGV 73K",1,2.0220487414974855
"THE NORTH FACE ULTRA-TRAIL DU MONT-BLANC®  - CCC®",1,2.0055300454831433
"LE GRAND RAID 73 ",1,1.8333732120592605
"WEEKEND TRAIL DU TOUR DES GLACIERS DE LA VANOISE  - LE TOUR DES GLACIERS DE LA VANOISE",1,1.2273383955495325
"GRAND RAID DU QUEYRAS  - GRAND RAID DU QUEYRAS (SEMI)",1,1.2232897287168996
"COURCHEVEL X-TRAIL  - 54 KM",1,1.171036622408232
"TRAIL DES AIGUILLES ROUGES  - TAR",1,1.0920876191718916
"DOI INTHANON BY UTMB  - ELEPHANT 100",1,1.080210782481953
"UTMB®  - CCC®",1,1.065688851919894
"TRAIL DES PASSERELLES DU MONTEYNARD  - LA GRANDE COURSE 65KM",1,1.04211188795658
"MERIBEL TRAIL CHAMPIONNAT FRANCE TRAIL  - 50 KM",1,1.0319902208749978
"LA 6000D LA COURSE DES GÉANTS  - LA 6000D",1,1.0280680748808848
"TRAILS DE LA VALLÉE DU BREVON  - TRAIL DES ALLOBROGES",1,1.021109428762297
"TRAIL DES MELEZES  - LA GRANDE TRAVERSEE DES MELEZES DU MERCANTOUR",1,0.989479219132353
"LE GRAND RAID DE LA RÉUNION ",1,0.9711223192375089
"TRAIL SAINTE-VICTOIRE  - TRAIL SAINTE VICTOIRE-LES CRÊTES",1,0.908632403318216
"MSIG LANTAU 50  - 50K",1,0.7895762942711066
"GARGANO RUNNING WEEK  - MATTINATA TRAIL",1,0.7010728626985132
"LA DIAGONALE DES FOUS ",1,0.5675285670986125
"HERITAGE TRAIL  - HERITAGE TRAIL",1,0.5150260746831922
"TRAIL DROME LAFUMA  - CHAMPIONNATS DE FRANCE TRAIL LONG",1,0.48946886530219735
"HARDROCK 100 ENDURANCE RUN  - 100MI CW",1,0.4643020751082763
"DACIA UTMB® MONT BLANC  - UTMB",1,0.40209183662635933
"HOKA UTMB MONT-BLANC  - UTMB",1,0.3961026521762368
"LA MONTAGN'HARD  - LA MONTAGN'HARD 100 - MONT-JOLY ULTRA-TOUR",1,0.31279502847001756
"UTMB®  - TDS®",1,0.12450279733810349
"UTMB® MONT BLANC  - TDS®",1,0.1242129980905169
"VILLACIDRO SKYRACE  - 21K",1,0.10482279136810567
"TRAIL GAPEN'CIMES  - TRAIL EDELWEISS",1,0.09598905750569318
"TRANSVULCANIA ULTRAMARATHON LA PALMA ISLAND  - HALF MARATHON",1,0.06950615198243566
"PENYAGOLOSA TRAILS HG  - IAUTWC",1,0.043889512747024795
