YEAR(Date),MONTH(Date),average_score
2007,8,792.0
2008,1,823.0
2008,8,748.0
2008,12,820.0
2009,5,823.5
2009,6,847.0
2009,7,846.0
2009,8,775.0
2009,9,809.0
2009,10,812.0
2009,12,760.0
2010,3,860.0
2010,4,808.0
2010,5,776.3
2010,6,837.0
2010,7,805.5
2010,8,827.0
2011,4,803.0
2011,5,846.5
2011,6,770.5
2011,7,818.0
2011,8,774.5
2011,10,800.0
2011,12,708.0
2012,4,833.0
2012,5,811.0
2012,6,811.0
2012,7,789.5
2012,8,785.7
2012,9,800.0
2012,10,769.0
2013,5,728.0
2013,6,786.5
2013,9,827.0
2014,3,782.0
2014,4,825.0
2014,6,783.0
2014,7,812.0
2014,8,800.5
2014,9,848.0
2014,10,825.0
2015,4,869.0
2015,5,859.3
2016,3,854.0
2016,4,811.5
2016,5,826.5
2016,7,831.0
2016,8,879.0
2016,10,872.0
2016,11,812.0
2016,12,817.0
2017,3,875.0
2017,4,868.0
2017,5,887.0
2017,6,875.0
2017,7,839.3
2017,9,891.0
2017,10,0.0
2018,3,870.0
2018,5,877.0
2018,7,871.0
2018,8,404.5
2018,10,832.0
2019,3,843.0
2019,4,879.5
2019,5,865.0
2019,6,877.0
2019,7,844.5
2019,8,748.3
2019,10,843.0
2020,3,881.0
2020,7,850.0
2020,8,850.0
2020,9,793.0
2020,10,810.7
2021,5,838.0
2021,6,827.0
2021,7,855.0
2021,8,884.0
2021,10,869.0
2022,4,859.0
2022,6,855.0
2022,7,682.0
2022,8,892.0
2022,10,0.0
2022,11,819.0
2023,6,825.0
2023,8,809.0
2023,9,888.0
2023,10,539.0
2023,12,851.0
2024,4,801.0
2024,5,866.0
2024,7,912.0
2024,8,885.0
2025,3,811.0
2025,4,867.0
